customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_Score,RFM_Segment
10477,36,1.0,17.0,5,3,1,531,Potential Loyalist
10479,16,1.0,300.0,5,3,5,535,Loyal Customers
10480,208,1.0,519.23,2,3,5,235,At Risk
10483,173,1.0,260.64,2,3,5,235,At Risk
10485,203,1.0,75.0,2,3,3,233,At Risk
10486,316,1.0,318.51,1,3,5,135,At Risk
10487,90,1.0,65.0,3,3,3,333,Others
10491,111,1.0,14.9,3,3,1,331,Frequent Low Spenders
10494,87,1.0,75.64,3,3,3,333,Others
10495,36,1.0,9.9,5,3,1,531,Potential Loyalist
10499,95,1.0,14.02,3,3,1,331,Frequent Low Spenders
10500,283,1.0,551.71,1,3,5,135,At Risk
10501,102,1.0,75.32,3,3,3,333,Others
10502,26,1.0,67.13,5,3,3,533,Loyal Customers
10503,158,1.0,50.0,2,3,2,232,At Risk
10509,182,1.0,40.0,2,3,2,232,At Risk
10510,105,1.0,42.9,3,3,2,332,Frequent Low Spenders
10511,157,1.0,223.85,2,3,5,235,At Risk
10514,265,1.0,33.0,1,3,2,132,At Risk
10515,136,1.0,467.92,3,3,5,335,Others
10516,352,1.0,31.92,1,3,2,132,At Risk
10518,116,1.0,40.83,3,3,2,332,Frequent Low Spenders
10521,349,1.0,120.55,1,3,4,134,At Risk
10522,60,1.0,1464.59,4,3,5,435,Loyal Customers
10523,28,1.3333333333333333,314.82,5,5,5,555,Champions
10530,38,1.0,77.16,5,3,3,533,Loyal Customers
10532,79,1.0,50.0,4,3,2,432,Potential Loyalist
10534,124,1.0,49.9,3,3,2,332,Frequent Low Spenders
10536,332,1.0,64.01,1,3,3,133,At Risk
10539,227,1.0,40.84,2,3,2,232,At Risk
10543,124,1.0,30.0,3,3,2,332,Frequent Low Spenders
10544,25,1.0,124.9,5,3,4,534,Loyal Customers
10547,49,1.0,59.8,4,3,3,433,Loyal Customers
10549,299,1.0,77.02,1,3,3,133,At Risk
10550,69,1.0,149.9,4,3,4,434,Loyal Customers
10551,36,1.5,400.98,5,5,5,555,Champions
10552,61,1.0,240.0,4,3,5,435,Loyal Customers
10554,88,1.0,52.7,3,3,3,333,Others
10557,304,1.0,139.4,1,3,4,134,At Risk
10558,99,1.0,109.80000000000001,3,3,4,334,Others
10562,74,1.0,55.47,4,3,3,433,Loyal Customers
10565,135,1.0,20.93,3,3,1,331,Frequent Low Spenders
